index,title,combine,overview,cast
339,The Incredibles,"Action Adventure Animation Familysecret identity secret hero island wretchNo gut, no gloryCraig T. Nelson Holly Hunter Samuel L. Jackson Jason Lee Dominique LouisBrad Bird","Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.",Craig T. Nelson Holly Hunter Samuel L. Jackson Jason Lee Dominique Louis
340,Cutthroat Island,Action Adventureexotic island treasure map ship scalpThe Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!Geena Davis Matthew Modine Frank Langella Maury Chaykin Patrick MalahideRenny Harlin,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",Geena Davis Matthew Modine Frank Langella Maury Chaykin Patrick Malahide
341,Percy Jackson & the Olympians: The Lightning Thief,Adventure Fantasy Familymonster greek mythology god poseidon \u00a0 lightning boltWorlds CollideLogan Lerman Brandon T. Jackson Alexandra Daddario Jake Abel Sean BeanChris Columbus,"Accident prone teenager, Percy discovers he's actually a demi-God, the son of Poseidon, and he is needed when Zeus' lightning is stolen. Percy must master his new found skills in order to prevent a war between the Gods that could devastate the entire world.",Logan Lerman Brandon T. Jackson Alexandra Daddario Jake Abel Sean Bean
342,Men in Black,Action Adventure Comedy Science Fictionsecret identity sun glasses undercover space marine illegal immigrationProtecting the Earth from the scum of the universe.Tommy Lee Jones Will Smith Linda Fiorentino Vincent D'Onofrio Rip TornBarry Sonnenfeld,"Men in Black follows the exploits of agents Kay and Jay, members of a top-secret organization established to monitor and police alien activity on Earth. The two Men in Black find themselves in the middle of the deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies. In order to prevent worlds from colliding, the MiB must track down the terrorist and prevent the destruction of Earth. It's just another typical day for the Men in Black.",Tommy Lee Jones Will Smith Linda Fiorentino Vincent D'Onofrio Rip Torn
343,Toy Story 2,Animation Comedy Familymuseum prosecution identity crisis airplane flea marketThe toys are back!Tom Hanks Tim Allen Joan Cusack Kelsey Grammer Don RicklesJohn Lasseter,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",Tom Hanks Tim Allen Joan Cusack Kelsey Grammer Don Rickles
344,Unstoppable,"Action Thrillerrunaway train1,000,000 Tons. 100,000 Lives. 100 Minutes.Denzel Washington Chris Pine Rosario Dawson Ethan Suplee Kevin CorriganTony Scott","A runaway train, transporting deadly, toxic chemicals, is barreling down on Stanton, Pennsylvania, and only two men can stop it: a veteran engineer and a young conductor. Thousands of lives hang in the balance as these ordinary heroes attempt to chase down one million tons of hurtling steel and prevent an epic disaster.",Denzel Washington Chris Pine Rosario Dawson Ethan Suplee Kevin Corrigan
345,Rush Hour 2,"Action Comedy Crime ThrillerduringcreditsstingerGet ready for a second Rush!Chris Tucker Jackie Chan Zhang Ziyi Roselyn S\u00e1nchez Ernie Reyes, Jr.Brett Ratner","It's vacation time for Carter as he finds himself alongside Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies, Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot. The boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing, the counterfeiting, and the true allegiance of sexy customs agent Isabella.","Chris Tucker Jackie Chan Zhang Ziyi Roselyn S\u00e1nchez Ernie Reyes, Jr."
346,What Lies Beneath,Drama Horror Mystery Thrillersecret haunted house ouija board haunting missing girlHe was the perfect husband until his one mistake followed them home.Harrison Ford Michelle Pfeiffer Diana Scarwid James Remar Miranda OttoRobert Zemeckis,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on.",Harrison Ford Michelle Pfeiffer Diana Scarwid James Remar Miranda Otto
347,Cloudy with a Chance of Meatballs,Animation Comedy Familyweather food sciencePrepare to get served.Bill Hader Anna Faris James Caan Mr. T Benjamin BrattPhil Lord,"Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?",Bill Hader Anna Faris James Caan Mr. T Benjamin Bratt
348,Ice Age: Dawn of the Dinosaurs,Animation Comedy Family Adventureice age bridge insanity jungle dinosaurYou Won't Believe Your Ice!Ray Romano John Leguizamo Denis Leary Queen Latifah Simon PeggCarlos Saldanha,"Times are changing for Manny the moody mammoth, Sid the motor mouthed sloth and Diego the crafty saber-toothed tiger. Life heats up for our heroes when they meet some new and none-too-friendly neighbors – the mighty dinosaurs.",Ray Romano John Leguizamo Denis Leary Queen Latifah Simon Pegg
349,The Secret Life of Walter Mitty,"Adventure Comedy Drama Fantasyhimalaya photographer magazine iceland daydreamStop Dreaming, Start LivingBen Stiller Kristen Wiig Patton Oswalt Shirley MacLaine Adam ScottBen Stiller",A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,Ben Stiller Kristen Wiig Patton Oswalt Shirley MacLaine Adam Scott
350,Charlie's Angels,Action Adventure Comedy Crime Thrillermartial arts female friendship millionaire agentGet Some ActionCameron Diaz Lucy Liu Drew Barrymore Bill Murray John ForsytheMcG,"Aspects of this take on the 1970s hit TV series are similar to the original show :Angels Dylan, Natalie and Alex still work for Charlie and interface with Bosley. They still flip their hair, stop traffic with a smile and kick butt. The differences are the unsubtle humor, the martial arts training and the high-tech premise: This time, they're hot on the trail of stolen software.",Cameron Diaz Lucy Liu Drew Barrymore Bill Murray John Forsythe
351,The Departed,Drama Thriller Crimeundercover boston police friends mafiaLies. Betrayal. Sacrifice. How far will you take it?Leonardo DiCaprio Matt Damon Jack Nicholson Mark Wahlberg Martin SheenMartin Scorsese,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",Leonardo DiCaprio Matt Damon Jack Nicholson Mark Wahlberg Martin Sheen
352,Mulan,"Animation Family Adventurehomeland musical training daughter cricketThis time, the princess saves the prince.Eddie Murphy Jackie Chan Ming-Na Wen Lea Salonga June ForayTony Bancroft","A tomboyish girl disguises herself as a young man so she can fight with the Imperial Chinese Army against the invading Huns. With help from wise-cracking dragon Mushu, Mulan just might save her country -- and win the heart of handsome Captain Li Shang.",Eddie Murphy Jackie Chan Ming-Na Wen Lea Salonga June Foray
353,Tropic Thunder,Action Comedyfilm making satire jungle movie star southeast asiaThe movie they think they're making... isn't a movie anymore.Ben Stiller Jack Black Robert Downey Jr. Nick Nolte Steve CooganBen Stiller,"Vietnam veteran 'Four Leaf' Tayback's memoir, Tropic Thunder, is being made into a film, but Director Damien Cockburn can’t control the cast of prima donnas. Behind schedule and over budget, Cockburn is ordered by a studio executive to get filming back on track, or risk its cancellation. On Tayback's advice, Cockburn drops the actors into the middle of the jungle to film the remaining scenes but, unbeknownst to the actors and production, the group have been dropped in the middle of the Golden Triangle, the home of heroin-producing gangs.",Ben Stiller Jack Black Robert Downey Jr. Nick Nolte Steve Coogan
354,The Girl with the Dragon Tattoo,Thriller Crime Mystery Dramarape journalist based on novel journalism hackerEvil shall with evil be expelled.Daniel Craig Rooney Mara Christopher Plummer Goran Visnjic Stellan Skarsg\u00e5rdDavid Fincher,"This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist, Mikael Blomkvist, as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.",Daniel Craig Rooney Mara Christopher Plummer Goran Visnjic Stellan Skarsg\u00e5rd
355,Die Hard: With a Vengeance,Action Thrillerbomb taxi riddle robbery detectiveThink fast. Look alive. Die hard.Bruce Willis Jeremy Irons Samuel L. Jackson Graham Greene Colleen CampJohn McTiernan,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",Bruce Willis Jeremy Irons Samuel L. Jackson Graham Greene Colleen Camp
356,Sherlock Holmes,Action Adventure Crime Mysterydetective scotland yard coffin black magic arrestNothing escapes him.Robert Downey Jr. Jude Law Rachel McAdams Mark Strong Eddie MarsanGuy Ritchie,"Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.",Robert Downey Jr. Jude Law Rachel McAdams Mark Strong Eddie Marsan
357,Ben-Hur,Dramabetrayal vengeanceFirst to finish. Last to die.Jack Huston Toby Kebbell Rodrigo Santoro Nazanin Boniadi Ayelet ZurerTimur Bekmambetov,A falsely accused nobleman survives years of slavery to take vengeance on his best friend who betrayed him.,Jack Huston Toby Kebbell Rodrigo Santoro Nazanin Boniadi Ayelet Zurer
358,Atlantis: The Lost Empire,Animation Family Adventure Science Fictionsea atlantis animation underwater sea monsterAtlantis is waiting...Michael J. Fox Corey Burton Claudia Christian James Garner John MahoneyGary Trousdale,"The world's most highly qualified crew of archaeologists and explorers is led by historian Milo Thatch as they board the incredible 1,000-foot submarine Ulysses and head deep into the mysteries of the sea.",Michael J. Fox Corey Burton Claudia Christian James Garner John Mahoney
359,Alvin and the Chipmunks: The Road Chip,Adventure Animation Comedy Familychipmunk cgi talking animal aftercreditsstinger duringcreditsstingerFast & furry-ousJason Lee Justin Long Bella Thorne Matthew Gray Gubler Jesse McCartneyWalt Becker,"Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in New York City - and dump them. They have three days to get to him and stop the proposal.",Jason Lee Justin Long Bella Thorne Matthew Gray Gubler Jesse McCartney
360,Valkyrie,Drama Thriller History Warberlin suicide bomb assassination resistanceMany saw evil. They dared to stop it.Tom Cruise Carice van Houten Kenneth Branagh Bill Nighy Terence StampBryan Singer,"Wounded in Africa during World War II, Nazi Col. Claus von Stauffenberg returns to his native Germany and joins the Resistance in a daring plan to create a shadow government and assassinate Adolf Hitler. When events unfold so that he becomes a central player, he finds himself tasked with both leading the coup and personally killing the Führer.",Tom Cruise Carice van Houten Kenneth Branagh Bill Nighy Terence Stamp
361,You Don't Mess with the Zohan,Comedy Actionnew york israel middle east hairdresser ladykillerLather. Rinse. Save the world.Adam Sandler John Turturro Emmanuelle Chriqui Nick Swardson Lainie KazanDennis Dugan,An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist. Zohan's desire runs so deep that he'll do anything -- including faking his own death and going head-to-head with an Arab cab driver -- to make his dreams come true.,Adam Sandler John Turturro Emmanuelle Chriqui Nick Swardson Lainie Kazan
362,Pixels,Action Comedy Science Fictionvideo game nerd alien attack 3d pixelsGame On.Adam Sandler Michelle Monaghan Peter Dinklage Josh Gad Kevin JamesChris Columbus,Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.,Adam Sandler Michelle Monaghan Peter Dinklage Josh Gad Kevin James
363,A.I. Artificial Intelligence,"Drama Science Fiction Adventureartificial intelligence prophecy prostitute android loss of motherDavid is 11 years old. He weighs 60 pounds. He is 4 feet, 6 inches tall. He has brown hair. His love is real. But he is not.Haley Joel Osment Frances O'Connor Sam Robards Jake Thomas Jude LawSteven Spielberg","A robotic boy, the first programmed to love, David is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David. Without final acceptance by humans or machines, David embarks on a journey to discover where he truly belongs, uncovering a world in which the line between robot and machine is both vast and profoundly thin.",Haley Joel Osment Frances O'Connor Sam Robards Jake Thomas Jude Law
364,The Haunted Mansion,Thriller Fantasy Comedy Family Mysterysecret passage magic estate agent haunted house family vacationCheck your pulse at the door... if you have one.Eddie Murphy Terence Stamp Nathaniel Parker Marsha Thomason Jennifer TillyRob Minkoff,"Workaholic Jim Evers and his wife/business partner, Sara get a call one night from mansion owner, Edward Gracey wants to sell his house. Once the Evers family arrive at the mansion a butler takes them to dine with Gracey. Gracey takes one look at Sara and he thinks she's his lost lover.",Eddie Murphy Terence Stamp Nathaniel Parker Marsha Thomason Jennifer Tilly
365,Contact,"Drama Science Fiction Mysterybased on novel nasa new mexico extraterrestrial technology prime numberIf it's just us, it seems like an awful waste of space.Jodie Foster Matthew McConaughey James Woods John Hurt Tom SkerrittRobert Zemeckis","Contact is a science fiction film about an encounter with alien intelligence. Based on the novel by Carl Sagan the film starred Jodie Foster as the one chosen scientist who must make some difficult decisions between her beliefs, the truth, and reality.",Jodie Foster Matthew McConaughey James Woods John Hurt Tom Skerritt
366,Hollow Man,Action Science Fiction Thrillerkilling human experimentation scientist invisible man science experimentWhat would you do if you knew you couldn't be seen?Kevin Bacon Elisabeth Shue Josh Brolin Kim Dickens Rhona MitraPaul Verhoeven,"Cocky researcher, Sebastian Caine is working on a project to make living creatures invisible and he's so confident he's found the right formula that he tests it on himself and soon begins to vanish. The only problem is – no-one can determine how to make him visible again. Caine's predicament eventually drives him mad, with terrifying results.",Kevin Bacon Elisabeth Shue Josh Brolin Kim Dickens Rhona Mitra
367,The Interpreter,Crime Thrillernew york dictator africa destruction of a civilization assassinationThe truth needs no translation.Nicole Kidman Sean Penn Catherine Keener Jesper Christensen Yvan AttalSydney Pollack,"After Silvia Broome, an interpreter at United Nations headquarters, overhears plans of an assassination, an American Secret Service agent is sent to investigate.",Nicole Kidman Sean Penn Catherine Keener Jesper Christensen Yvan Attal
368,Percy Jackson: Sea of Monsters,"Adventure Family Fantasypoison hermes poseidon demigod golden fleeceWhere There Are Gods, There Are Monsters.Logan Lerman Alexandra Daddario Douglas Smith Leven Rambin Brandon T. JacksonThor Freudenthal","In their quest to confront the ultimate evil, Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising.",Logan Lerman Alexandra Daddario Douglas Smith Leven Rambin Brandon T. Jackson
369,Lara Croft Tomb Raider: The Cradle of Life,Action Adventure Fantasy Thrillerriddle treasure medallion kenia alexander the greatAdventuress Lara Croft goes on a quest to save the mythical Pandora's BoxAngelina Jolie Gerard Butler Noah Taylor Djimon Hounsou Til SchweigerJan de Bont,"Lara Croft ventures to an underwater temple in search of the mythological Pandora's Box but, after securing it, it is promptly stolen by the villainous leader of a Chinese crime syndicate. Lara must recover the box before the syndicate's evil mastermind uses it to construct a weapon of catastrophic capabilities.",Angelina Jolie Gerard Butler Noah Taylor Djimon Hounsou Til Schweiger
370,Now You See Me 2,Action Adventure Comedy Crime Mysterylondon england china magic secret society vigilanteYou Haven't Seen Anything YetJesse Eisenberg Woody Harrelson Mark Ruffalo Dave Franco Morgan FreemanJon M. Chu,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.",Jesse Eisenberg Woody Harrelson Mark Ruffalo Dave Franco Morgan Freeman
371,The Saint,Thriller Action Romance Science Fiction Adventureberlin russia gas master thief the saintNever reveal your name. Never turn your back. Never surrender your heart.Val Kilmer Elisabeth Shue Rade Serbedzija Henry Goodman Alun ArmstrongPhillip Noyce,"Ivan Tretiak, Russian Mafia boss who wants to create an oil crisis in Moscow and seize power as a result sends Simon Templar, great international criminal, to England to get a secret formula for cold fusion from U.S. scientist Emma Russell. Templar falls in love with Emma and they try to outwit Tretiak and his guerrillas, hiding from them in Moscow",Val Kilmer Elisabeth Shue Rade Serbedzija Henry Goodman Alun Armstrong
372,Spy Game,Action Crime Thrillerspy china cia cold warIt's not how you play the game. It's how the game plays you.Robert Redford Brad Pitt Catherine McCormack Stephen Dillane Larry BryggmanTony Scott,"Veteran spy Nathan Muir is on the verge of retiring from the CIA when he learns that his one-time protégé and close friend, Tom Bishop, is a political prisoner sentenced to die in Beijing. Although their friendship has been marred by bad blood and resentment, Muir agrees to take on the most dangerous mission of his career and rescue Bishop.",Robert Redford Brad Pitt Catherine McCormack Stephen Dillane Larry Bryggman
373,Mission to Mars,Science Fictionmars spacecraft space travel alien long takeLet There Be Life.Gary Sinise Tim Robbins Don Cheadle Connie Nielsen Jerry O'ConnellBrian De Palma,"When contact is lost with the crew of the first Mars expedition, a rescue mission is launched to discover their fate.",Gary Sinise Tim Robbins Don Cheadle Connie Nielsen Jerry O'Connell
374,Rio,Animation Adventure Comedy Familybrazil pet bird musical canary1 out of every 8 Americans is afraid of flying. Most of them don't have feathers.Jesse Eisenberg Anne Hathaway Leslie Mann Jane Lynch Will.i.amCarlos Saldanha,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.",Jesse Eisenberg Anne Hathaway Leslie Mann Jane Lynch Will.i.am
375,Bicentennial Man,Comedy Science Fictionandroid hologram freedom futuristic robotOne robot's 200 year journey to become an ordinary man.Robin Williams Sam Neill Embeth Davidtz Oliver Platt Kiersten WarrenChris Columbus,"Richard Martin buys a gift, a new NDR-114 robot. The product is named Andrew by the youngest of the family's children. ""Bicentennial Man"" follows the life and times of Andrew, a robot purchased as a household appliance programmed to perform menial tasks. As Andrew begins to experience emotions and creative thought, the Martin family soon discovers they don't have an ordinary robot.",Robin Williams Sam Neill Embeth Davidtz Oliver Platt Kiersten Warren
376,Volcano,Science Fiction Action Drama Thrillersubway lava volcano volcanologist los angelesThe coast is toastTommy Lee Jones Anne Heche Gaby Hoffmann Don Cheadle Joshua FardonMick Jackson,"An earthquake shatters a peaceful Los Angeles morning and opens a fissure deep into the earth, causing lava to start bubbling up. As a volcano begins forming in the La Brea Tar Pits, the director of the city's emergency management service, Mike Roark, working with geologist Amy Barnes, must then use every resource in the city to try and stop the volcano from consuming Los Angeles.",Tommy Lee Jones Anne Heche Gaby Hoffmann Don Cheadle Joshua Fardon
377,The Devil's Own,"Crime Thriller Dramanew york terrorist anonymity northern irelandThey come from different worlds. They fight for different causes. Now, two men from opposite sides of the law are about to go to war.Harrison Ford Brad Pitt Margaret Colin Rub\u00e9n Blades Treat WilliamsAlan J. Pakula","Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder.",Harrison Ford Brad Pitt Margaret Colin Rub\u00e9n Blades Treat Williams
378,K-19: The Widowmaker,Drama History Thrillersubmarine soviet union core melt north atlantic nuclearFate has found its hero.Harrison Ford Liam Neeson Peter Sarsgaard Joss Ackland John ShrapnelKathryn Bigelow,"When Russia's first nuclear submarine malfunctions on its maiden voyage, the crew must race to save the ship and prevent a nuclear disaster.",Harrison Ford Liam Neeson Peter Sarsgaard Joss Ackland John Shrapnel
379,Conan the Barbarian,Adventure Fantasy Actiongladiator repayment despot barbarian sword and sorceryThief. Warrior. Gladiator. King.Arnold Schwarzenegger James Earl Jones Max von Sydow Sandahl Bergman Cassandra GavaJohn Milius,"A film adaptation of the classic sword and sorcery hero, Conan the Barbarian. A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.",Arnold Schwarzenegger James Earl Jones Max von Sydow Sandahl Bergman Cassandra Gava
380,Cinderella Man,Romance Drama Historytransporter netherlands world cup socially deprived family family's daily lifeOne man's extraordinary fight to save the family he loved.Russell Crowe Ren\u00e9e Zellweger Paul Giamatti Craig Bierko Paddy ConsidineRon Howard,"The true story of boxer, Jim Braddock who, in the 1920’s after his retirement, has a surprise comeback in order to get him and his family out of a socially poor state.",Russell Crowe Ren\u00e9e Zellweger Paul Giamatti Craig Bierko Paddy Considine
381,The Nutcracker: The Untold Story,Fantasy Action FamilyElle Fanning Nathan Lane John Turturro Frances de la Tour Charlie RoweAndrei Konchalovsky,"Set in 1920's Vienna, this a tale of a little girl, whose godfather gives her a special doll one Christmas Eve.",Elle Fanning Nathan Lane John Turturro Frances de la Tour Charlie Rowe
382,Seabiscuit,Drama Historyhorse race american dream racehorse great depressionThe hopes of a nation rode on a long shot.Jeff Bridges David McCullough Chris Cooper Tobey Maguire Elizabeth BanksGary Ross,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,Jeff Bridges David McCullough Chris Cooper Tobey Maguire Elizabeth Banks
383,Twister,Action Adventure Dramawife husband relationship tornado twister oklahoma metereologistThe Dark Side of Nature.Helen Hunt Bill Paxton Cary Elwes Jami Gertz Philip Seymour HoffmanJan de Bont,"TV weatherman Bill Harding is trying to get his tornado-hunter wife, Jo, to sign divorce papers so he can marry his girlfriend Melissa. But Mother Nature, in the form of a series of intense storms sweeping across Oklahoma, has other plans. Soon the three have joined the team of stormchasers as they attempt to insert a revolutionary measuring device into the very heart of several extremely violent tornados.",Helen Hunt Bill Paxton Cary Elwes Jami Gertz Philip Seymour Hoffman
384,Cast Away,"Adventure Dramaexotic island suicide attempt volleyball loneliness airplane crashAt the edge of the world, his journey begins.Tom Hanks Helen Hunt Chris Noth Paul Sanchez Lari WhiteRobert Zemeckis","Chuck, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia ditches at sea during a terrible storm. He's the only survivor, and he washes up on a tiny island with nothing but some flotsam and jetsam from the aircraft's cargo.",Tom Hanks Helen Hunt Chris Noth Paul Sanchez Lari White
385,Happy Feet,Animation Comedyocean fish zoo penguin tap dancingWARNING: May Cause Toe-Tapping.Elijah Wood Robin Williams Brittany Murphy Hugh Jackman Nicole KidmanGeorge Miller,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",Elijah Wood Robin Williams Brittany Murphy Hugh Jackman Nicole Kidman
386,The Bourne Supremacy,Action Drama Thrillerberlin assassin based on novel amnesia sniperThey should have left him alone.Matt Damon Franka Potente Brian Cox Julia Stiles Karl UrbanPaul Greengrass,"When a CIA operation to purchase classified Russian documents is blown by a rival agent, who then shows up in the sleepy seaside village where Bourne and Marie have been living. The pair run for their lives and Bourne, who promised retaliation should anyone from his former life attempt contact, is forced to once again take up his life as a trained assassin to survive.",Matt Damon Franka Potente Brian Cox Julia Stiles Karl Urban
387,Air Force One,Action Thrillerprison corruption journalist white house hostageThe fate of a nation rests on the courage of one man.Harrison Ford Gary Oldman Glenn Close Wendy Crewson William H. MacyWolfgang Petersen,"Russian terrorists conspire to hijack the aircraft with the president and his family on board. The commander in chief finds himself facing an impossible predicament: give in to the terrorists and sacrifice his family, or risk everything to uphold his principles - and the integrity of the nation.",Harrison Ford Gary Oldman Glenn Close Wendy Crewson William H. Macy
388,Ocean's Eleven,Thriller Crimeprison pickpocket strip club con artist atlantic cityAre you in or out?George Clooney Brad Pitt Matt Damon Andy Garc\u00eda Julia RobertsSteven Soderbergh,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",George Clooney Brad Pitt Matt Damon Andy Garc\u00eda Julia Roberts
389,The Three Musketeers,Adventure Action Thrillernumber in title historical fiction musketeer 17th century 3dEvery legend has a new beginning.Milla Jovovich Orlando Bloom Logan Lerman Ray Stevenson Matthew MacfadyenPaul W.S. Anderson,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,Milla Jovovich Orlando Bloom Logan Lerman Ray Stevenson Matthew Macfadyen
390,Hotel Transylvania,Animation Comedy Family Fantasywitch magic mummy vampire draculaWhere monsters go to get away from it allAdam Sandler Steve Buscemi David Spade Kevin James Selena GomezGenndy Tartakovsky,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teen-aged daughter.",Adam Sandler Steve Buscemi David Spade Kevin James Selena Gomez
391,Enchanted,Comedy Family Fantasy Romancepoison queen fairy tale musical princessThis fairytale princess is about to meet a real Prince CharmingAmy Adams Patrick Dempsey James Marsden Timothy Spall Rachel CoveyKevin Lima,"The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?",Amy Adams Patrick Dempsey James Marsden Timothy Spall Rachel Covey
392,Safe House,Action Thrillercia violence safe house rogue agent cape town south africaNo one is safeDenzel Washington Ryan Reynolds Vera Farmiga Joel Kinnaman Brendan GleesonDaniel Espinosa,"A dangerous CIA renegade resurfaces after a decade on the run. When the safe house he's remanded to is attacked by mercenaries, a rookie operative escapes with him. Now, the unlikely allies must stay alive long enough to uncover who wants them dead.",Denzel Washington Ryan Reynolds Vera Farmiga Joel Kinnaman Brendan Gleeson
393,102 Dalmatians,Comedy Familylondon england prison release from prison women's prison society for the prevention of cruelty to animalsMeet Two Unlikely Heroes With A Bone To Pick.Glenn Close Ioan Gruffudd Alice Evans Tim McInnerny G\u00e9rard DepardieuKevin Lima,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth... a parrot who thinks he's a Rottweiler... teams up with Oddball... an un-marked Dalmation puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil",Glenn Close Ioan Gruffudd Alice Evans Tim McInnerny G\u00e9rard Depardieu
394,Tower Heist,Action Comedyskyscraper thanksgiving billionaire parade fbi agentOrdinary guys. An extraordinary robbery.Ben Stiller Eddie Murphy Casey Affleck Alan Alda Matthew BroderickBrett Ratner,"A luxury condo manager leads a staff of workers to seek payback on the Wall Street swindler who defrauded them. With only days until the billionaire gets away with the perfect crime, the unlikely crew of amateur thieves enlists the help of petty crook Slide to steal the $20 million they’re sure is hidden in the penthouse.",Ben Stiller Eddie Murphy Casey Affleck Alan Alda Matthew Broderick
395,The Holiday,Comedy Romanceholiday london england film making christmas party country houseIt's Christmas Eve and we are going to go celebrate being young and being alive.Cameron Diaz Kate Winslet Jude Law Jack Black Eli WallachNancy Meyers,"Two women, one (Cameron Diaz) from America and one (Kate Winslet) from Britain, swap homes at Christmastime after bad breakups with their boyfriends. Each woman finds romance with a local man (Jude Law, Jack Black) but realizes that the imminent return home may end the relationship.",Cameron Diaz Kate Winslet Jude Law Jack Black Eli Wallach
